SUID,Indegree,name,Outdegree
72,0,soni1.singh,1
73,0,ruman63,1
74,0,ronniechakre,1
75,0,rochana.chaturvedi,1
76,0,rashika bagri ,1
77,0,rafiq1600,1
78,1,binod,0
79,0,pradeep rai ,3
80,0,prabhjot.luthra,1
81,0,noreply,1
82,0,no-reply,1
83,0,ngupta.cs.du,1
84,0,neha.mcs19.du,1
85,0,megha sundriyal ,2
86,1,jaspreet mcs19 du,0
87,0,mathoffice,2
88,0,info,1
89,0,himani saini ,1
90,0,edX ,1
91,0,ducs.events.2020,1
92,0,ashwanivarshney25,1
93,0,ashwani varshney ,1
94,0,admin,1
95,0,acss,1
96,0,acmindiaschools,1
97,0,Zoom Video Communications ,1
98,1,jaspreet.mcs19.du,0
99,0,Zoom ,2
100,1,supriya.mcs19.du,0
101,1,aditi.mcs19.du,0
102,1,Welcome to StylingCV Resume Builder ,0
103,0,"""Welcome to StylingCV  let's find your dream job",0
104,0,Vipul Kumar ,1
105,0,Vasudha Bhatnagar  ,1
106,0,University of Delhi ,1
107,0,University at Buffalo  School of Engineering and Applied Sciences ,1
108,0,Twitter Developer Accounts ,1
109,1,Twitter User ,0
110,0,Twitter ,3
111,0,Townscript ,1
112,0,Tanisha Grover ,1
113,0,Syed Alam ,2
114,0,Swagata Duari ,1
115,0,Supriya Katyal  ,1
116,0,Steam ,1
117,0,Simran Mehra ,3
118,2,ashwani.mcs19.du,1
119,1,Shivali Meena ,2
120,0,Seema Bhati ,3
121,0,Seema ,1
122,0,School of Engineering and Applied Sciences ,1
123,0,Sapna Varshney  ,1
124,1,Yatin Kapoor ,6
125,0,Sanjeev Kumar Goyal  ,1
126,0,Sahil Prajapati ,2
127,0,Sahil Nishal ,1
128,0,Saachi  ,1
129,0,SUNIL KUMAR  ,1
130,0,SUMIT KUMAR ,1
131,0,SEAS Office of Graduate Education ,1
132,0,SAACHI ,1
133,0,Ruman Saleem ,2
134,0,Ruchika Bhatt  ,1
135,1,pradyot.k.hazra,0
136,0,Roni Chakre ,2
137,0,Ronak Aggarwal  ,1
138,0,Ronak Aggarwal ,2
139,1,Rohit Shakya ,4
140,0,Rochana Chaturvedi  ,1
141,1,Saachi . ,1
142,0,Rochana Chaturvedi ,4
143,1,Monika Yadav ,0
144,0,Riya Yadav ,3
145,0,Rajni Dabas ,1
146,0,Rahul Saladi ,1
147,0,Quora Digest ,1
148,0,Priyanka Negi ,2
149,0,Priti Patwal ,1
150,0,Pranav Gurditta ,2
151,0,Pradyot Kanti Hazra ,1
152,0,Pooja Sikka ,1
153,0,Piazza Team ,1
154,0,Piazza ,1
155,0,Paytm  India ,1
156,0,PAYTM ,1
157,0,Otter.ai ,1
158,0,No reply IDP ,1
159,1,Prashant Yadav ,3
160,1,Nitesh yadav ,3
161,0,Nikita Bansal ,1
162,0,Nikhil Agarwal ,2
163,0,Neha Tomar ,2
164,2,msc_101,0
165,1,mca-301-algorithms,0
166,1,du studenthelp ,0
167,1,csduResearch ,0
168,1,compsc_du ,0
169,1,MCA_adm2017,0
170,0,Navendu Duari ,2
171,0,NIkhil Chainani ,1
172,0,Msc_101,1
173,0,Monika Dheer ,2
174,0,"	""",2
175,0,"""Microsoft account team",0
176,0,Megha Khandelwal  ,1
177,0,Medium Membership ,1
178,0,Medium Daily Digest ,1
179,0,Medium ,1
180,3,Mansi Saxena ,2
181,1,mathoffice ,0
182,1,gokul1717,0
183,1,Soumen Maity ,0
184,2,SHARON SUNNY ,0
185,0,Magoosh Team ,1
186,0,MUSKAN SINGHAL ,1
187,0,M2L organizers,1
188,0,Lucas from Magoosh ,1
189,1,abhinav.mca19.du,0
190,1,Krishna Agarwal ,3
191,1,abhishek sharma ,3
192,0,Kajal Rathore ,1
193,2,Kajal Gupta ,3
194,0,Johns Hopkins Engineering for Professionals ,1
195,0,Johns Hopkins Engineering ,1
196,0,Jatin Rohilla ,1
197,1,Jaspreet Singh ,1
198,0,Instamojo ,1
199,0,IDP New Delhi ,1
200,0,IDP Marketing ,1
201,0,IDP India ,1
202,0,IBMRecruitment_noreply ,1
203,0,IBM Talent Acquisition Team ,1
204,1,Hitesh Yadav ,2
205,2,Supriya Katyal ,4
206,2,Himanshu Dabas ,3
207,1,Sapna Varshney ,4
208,0,Harvard Summer School ,1
209,0,Harshul Kumar ,1
210,0,Hannah from Magoosh ,1
211,0,Google Forms ,1
212,0,Google ,1
213,1,jsd6018,0
214,0,GitHub ,1
215,4,undisclosed-recipients:;,0
216,0,Finland Labs ,2
217,0,EduThrill ,1
218,0,Ducs placement cell 2021,1
219,1,Ducs placement cell 2021,3
220,4,placementbatchducs2021,0
221,4,Ducs Placement Cell 2021,2
222,1,Ducs Placement Batch 2020-21,1
223,1,Divya Singh ,2
224,0,Diksha Gupta ,2
225,1,Devender Gupta ,1
226,2,Saachi ,3
227,1,Devanshu Verma ,2
